mutant	source_check	T	R_or_R1	R2	S	A	W_or_W1	W2	B	RESULT_locations
scratch/q1d_I_evDI_evidence.pv	proverif/sp7_q1_strict_dns_compromised.pv:179	true	true	-	true	true	false	-	false	scratch/q1d_I_evDI_evidence.out:555; scratch/q1d_I_evDI_evidence.out:569; scratch/q1d_I_evDI_evidence.out:583; scratch/q1d_I_evDI_evidence.out:597; scratch/q1d_I_evDI_evidence.out:923; scratch/q1d_I_evDI_evidence.out:1119
scratch/q1d_I_evDI_tag_typed.pv	proverif/sp7_q1_strict_dns_compromised.pv:179	true	true	-	true	true	false	-	false	scratch/q1d_I_evDI_tag_typed.out:560; scratch/q1d_I_evDI_tag_typed.out:574; scratch/q1d_I_evDI_tag_typed.out:588; scratch/q1d_I_evDI_tag_typed.out:602; scratch/q1d_I_evDI_tag_typed.out:938; scratch/q1d_I_evDI_tag_typed.out:1147
scratch/q1d_I_evDI_digest_typed.pv	proverif/sp7_q1_strict_dns_compromised.pv:179	true	true	-	true	true	false	-	false	scratch/q1d_I_evDI_digest_typed.out:560; scratch/q1d_I_evDI_digest_typed.out:574; scratch/q1d_I_evDI_digest_typed.out:588; scratch/q1d_I_evDI_digest_typed.out:602; scratch/q1d_I_evDI_digest_typed.out:938; scratch/q1d_I_evDI_digest_typed.out:1150
scratch/q1d_I_evRI_evidence.pv	proverif/sp7_q1_strict_dns_compromised.pv:180	true	true	-	true	true	false	-	false	scratch/q1d_I_evRI_evidence.out:554; scratch/q1d_I_evRI_evidence.out:567; scratch/q1d_I_evRI_evidence.out:580; scratch/q1d_I_evRI_evidence.out:593; scratch/q1d_I_evRI_evidence.out:921; scratch/q1d_I_evRI_evidence.out:1125
scratch/q1d_I_evRI_tag_typed.pv	proverif/sp7_q1_strict_dns_compromised.pv:180	true	true	-	true	true	false	-	false	scratch/q1d_I_evRI_tag_typed.out:560; scratch/q1d_I_evRI_tag_typed.out:574; scratch/q1d_I_evRI_tag_typed.out:588; scratch/q1d_I_evRI_tag_typed.out:602; scratch/q1d_I_evRI_tag_typed.out:935; scratch/q1d_I_evRI_tag_typed.out:1144
scratch/q1d_I_evRI_digest_typed.pv	proverif/sp7_q1_strict_dns_compromised.pv:180	true	true	-	true	true	false	-	false	scratch/q1d_I_evRI_digest_typed.out:560; scratch/q1d_I_evRI_digest_typed.out:574; scratch/q1d_I_evRI_digest_typed.out:588; scratch/q1d_I_evRI_digest_typed.out:602; scratch/q1d_I_evRI_digest_typed.out:928; scratch/q1d_I_evRI_digest_typed.out:1137
scratch/q1d_I_slot.pv	proverif/sp7_q1_strict_dns_compromised.pv:182	true	true	-	true	true	false	-	false	scratch/q1d_I_slot.out:570; scratch/q1d_I_slot.out:598; scratch/q1d_I_slot.out:626; scratch/q1d_I_slot.out:654; scratch/q1d_I_slot.out:1001; scratch/q1d_I_slot.out:1224
scratch/q1d_I_possession.pv	proverif/sp7_q1_strict_dns_compromised.pv:183	true	true	-	true	true	false	-	false	scratch/q1d_I_possession.out:555; scratch/q1d_I_possession.out:568; scratch/q1d_I_possession.out:581; scratch/q1d_I_possession.out:594; scratch/q1d_I_possession.out:912; scratch/q1d_I_possession.out:1106
scratch/q1d_I_poss_tag_typed.pv	proverif/sp7_q1_strict_dns_compromised.pv:183	true	true	-	true	true	false	-	false	scratch/q1d_I_poss_tag_typed.out:560; scratch/q1d_I_poss_tag_typed.out:574; scratch/q1d_I_poss_tag_typed.out:588; scratch/q1d_I_poss_tag_typed.out:602; scratch/q1d_I_poss_tag_typed.out:935; scratch/q1d_I_poss_tag_typed.out:1144
scratch/q1d_I_poss_manifest_typed.pv	proverif/sp7_q1_strict_dns_compromised.pv:183	true	true	-	true	true	false	-	false	scratch/q1d_I_poss_manifest_typed.out:564; scratch/q1d_I_poss_manifest_typed.out:581; scratch/q1d_I_poss_manifest_typed.out:598; scratch/q1d_I_poss_manifest_typed.out:615; scratch/q1d_I_poss_manifest_typed.out:951; scratch/q1d_I_poss_manifest_typed.out:1163
scratch/q1d_I_signature.pv	proverif/sp7_q1_strict_dns_compromised.pv:184	true	true	-	false	true	false	-	false	scratch/q1d_I_signature.out:553; scratch/q1d_I_signature.out:564; scratch/q1d_I_signature.out:842; scratch/q1d_I_signature.out:853; scratch/q1d_I_signature.out:1173; scratch/q1d_I_signature.out:1368
scratch/q1d_I_sig_tag_typed.pv	proverif/sp7_q1_strict_dns_compromised.pv:184	true	true	-	true	true	false	-	false	scratch/q1d_I_sig_tag_typed.out:560; scratch/q1d_I_sig_tag_typed.out:574; scratch/q1d_I_sig_tag_typed.out:588; scratch/q1d_I_sig_tag_typed.out:602; scratch/q1d_I_sig_tag_typed.out:935; scratch/q1d_I_sig_tag_typed.out:1144
scratch/q1d_I_sig_bytes_typed.pv	proverif/sp7_q1_strict_dns_compromised.pv:184	true	true	-	true	true	false	-	false	scratch/q1d_I_sig_bytes_typed.out:569; scratch/q1d_I_sig_bytes_typed.out:592; scratch/q1d_I_sig_bytes_typed.out:615; scratch/q1d_I_sig_bytes_typed.out:638; scratch/q1d_I_sig_bytes_typed.out:983; scratch/q1d_I_sig_bytes_typed.out:1204
scratch/q1d_I_type.pv	proverif/sp7_q1_strict_dns_compromised.pv:185	false	true	-	true	true	false	-	false	scratch/q1d_I_type.out:795; scratch/q1d_I_type.out:814; scratch/q1d_I_type.out:832; scratch/q1d_I_type.out:850; scratch/q1d_I_type.out:1188; scratch/q1d_I_type.out:1401
scratch/q1d_I_alg.pv	proverif/sp7_q1_strict_dns_compromised.pv:185	true	true	-	true	true	false	-	false	scratch/q1d_I_alg.out:560; scratch/q1d_I_alg.out:574; scratch/q1d_I_alg.out:588; scratch/q1d_I_alg.out:602; scratch/q1d_I_alg.out:935; scratch/q1d_I_alg.out:1144
scratch/q1d_I_id.pv	proverif/sp7_q1_strict_dns_compromised.pv:185	true	true	-	true	true	false	-	false	scratch/q1d_I_id.out:560; scratch/q1d_I_id.out:574; scratch/q1d_I_id.out:588; scratch/q1d_I_id.out:602; scratch/q1d_I_id.out:935; scratch/q1d_I_id.out:1144
scratch/q1d_I_fp.pv	proverif/sp7_q1_strict_dns_compromised.pv:185	true	true	-	true	true	false	-	false	scratch/q1d_I_fp.out:560; scratch/q1d_I_fp.out:574; scratch/q1d_I_fp.out:587; scratch/q1d_I_fp.out:601; scratch/q1d_I_fp.out:934; scratch/q1d_I_fp.out:1142
scratch/q1d_I_hash.pv	proverif/sp7_q1_strict_dns_compromised.pv:186	true	true	-	true	true	false	-	false	scratch/q1d_I_hash.out:556; scratch/q1d_I_hash.out:570; scratch/q1d_I_hash.out:583; scratch/q1d_I_hash.out:596; scratch/q1d_I_hash.out:928; scratch/q1d_I_hash.out:1136
scratch/q1d_W_evDW_evidence.pv	proverif/sp7_q1_strict_dns_compromised.pv:206	true	true	-	true	true	false	-	false	scratch/q1d_W_evDW_evidence.out:558; scratch/q1d_W_evDW_evidence.out:572; scratch/q1d_W_evDW_evidence.out:585; scratch/q1d_W_evDW_evidence.out:598; scratch/q1d_W_evDW_evidence.out:923; scratch/q1d_W_evDW_evidence.out:1131
scratch/q1d_W_evDW_tag_typed.pv	proverif/sp7_q1_strict_dns_compromised.pv:206	true	true	-	true	true	false	-	false	scratch/q1d_W_evDW_tag_typed.out:560; scratch/q1d_W_evDW_tag_typed.out:574; scratch/q1d_W_evDW_tag_typed.out:588; scratch/q1d_W_evDW_tag_typed.out:602; scratch/q1d_W_evDW_tag_typed.out:938; scratch/q1d_W_evDW_tag_typed.out:1147
scratch/q1d_W_evDW_digest_typed.pv	proverif/sp7_q1_strict_dns_compromised.pv:206	true	true	-	true	true	false	-	false	scratch/q1d_W_evDW_digest_typed.out:561; scratch/q1d_W_evDW_digest_typed.out:575; scratch/q1d_W_evDW_digest_typed.out:589; scratch/q1d_W_evDW_digest_typed.out:603; scratch/q1d_W_evDW_digest_typed.out:939; scratch/q1d_W_evDW_digest_typed.out:1148
scratch/q1d_W_evRW_evidence.pv	proverif/sp7_q1_strict_dns_compromised.pv:207	true	true	-	true	true	false	-	false	scratch/q1d_W_evRW_evidence.out:557; scratch/q1d_W_evRW_evidence.out:570; scratch/q1d_W_evRW_evidence.out:583; scratch/q1d_W_evRW_evidence.out:596; scratch/q1d_W_evRW_evidence.out:914; scratch/q1d_W_evRW_evidence.out:1122
scratch/q1d_W_evRW_tag_typed.pv	proverif/sp7_q1_strict_dns_compromised.pv:207	true	true	-	true	true	false	-	false	scratch/q1d_W_evRW_tag_typed.out:560; scratch/q1d_W_evRW_tag_typed.out:574; scratch/q1d_W_evRW_tag_typed.out:587; scratch/q1d_W_evRW_tag_typed.out:601; scratch/q1d_W_evRW_tag_typed.out:934; scratch/q1d_W_evRW_tag_typed.out:1143
scratch/q1d_W_evRW_digest_typed.pv	proverif/sp7_q1_strict_dns_compromised.pv:207	true	true	-	true	true	false	-	false	scratch/q1d_W_evRW_digest_typed.out:560; scratch/q1d_W_evRW_digest_typed.out:574; scratch/q1d_W_evRW_digest_typed.out:588; scratch/q1d_W_evRW_digest_typed.out:602; scratch/q1d_W_evRW_digest_typed.out:925; scratch/q1d_W_evRW_digest_typed.out:1134
